1.00000e+11 1.62480e+20 1.62480e+31 4.86907e+18 4.86907e+29 2.42855e+19 2.42855e+30 4.32088e+19 4.32088e+30 5.06414e+19 5.06414e+30 
1.10975e+11 2.00100e+20 2.22061e+31 5.99649e+18 6.65462e+29 2.99085e+19 3.31910e+30 5.32133e+19 5.90536e+30 6.23669e+19 6.92118e+30 
1.23155e+11 2.46430e+20 3.03492e+31 7.38494e+18 9.09493e+29 3.68335e+19 4.53623e+30 6.55342e+19 8.07086e+30 7.68071e+19 9.45919e+30 
1.36672e+11 3.03488e+20 4.14782e+31 9.09489e+18 1.24301e+30 4.53617e+19 6.19966e+30 8.07077e+19 1.10305e+31 9.45907e+19 1.29279e+31 
1.51672e+11 3.73756e+20 5.66882e+31 1.12008e+19 1.69884e+30 5.58646e+19 8.47308e+30 9.93943e+19 1.50753e+31 1.16492e+20 1.76685e+31 
1.68318e+11 4.60292e+20 7.74755e+31 1.37942e+19 2.32181e+30 6.87991e+19 1.15801e+31 1.22407e+20 2.06034e+31 1.43463e+20 2.41475e+31 
1.86791e+11 5.66864e+20 1.05885e+32 1.69881e+19 3.17324e+30 8.47282e+19 1.58265e+31 1.50748e+20 2.81585e+31 1.76679e+20 3.30022e+31 
2.07292e+11 6.98109e+20 1.44713e+32 2.09216e+19 4.33689e+30 1.04345e+20 2.16300e+31 1.85651e+20 3.84840e+31 2.17586e+20 4.51038e+31 
2.30043e+11 8.59739e+20 1.97777e+32 2.57658e+19 5.92724e+30 1.28504e+20 2.95615e+31 2.28634e+20 5.25956e+31 2.67962e+20 6.16429e+31 
2.55291e+11 1.05879e+21 2.70299e+32 3.17316e+19 8.10078e+30 1.58256e+20 4.04013e+31 2.81568e+20 7.18817e+31 3.30002e+20 8.42464e+31 
2.83310e+11 1.30392e+21 3.69413e+32 3.90787e+19 1.10714e+31 1.94896e+20 5.52158e+31 3.46757e+20 9.82395e+31 4.06404e+20 1.15138e+32 
3.14404e+11 1.60580e+21 5.04869e+32 4.81268e+19 1.51312e+31 2.40017e+20 7.54623e+31 4.27037e+20 1.34262e+32 5.00493e+20 1.57357e+32 
3.48910e+11 1.97756e+21 6.89991e+32 5.92698e+19 2.06798e+31 2.95585e+20 1.03133e+32 5.25902e+20 1.83492e+32 6.16364e+20 2.15055e+32 
3.87204e+11 2.43539e+21 9.42991e+32 7.29927e+19 2.82631e+31 3.64016e+20 1.40948e+32 6.47653e+20 2.50774e+32 7.59057e+20 2.93910e+32 
4.29700e+11 2.99919e+21 1.28875e+33 8.98928e+19 3.86270e+31 4.48288e+20 1.92630e+32 7.97588e+20 3.42724e+32 9.34782e+20 4.01676e+32 
4.76861e+11 3.69350e+21 1.76129e+33 1.10706e+20 5.27912e+31 5.52068e+20 2.63260e+32 9.82229e+20 4.68387e+32 1.15118e+21 5.48954e+32 
5.29198e+11 4.54852e+21 2.40707e+33 1.36337e+20 7.21492e+31 6.79870e+20 3.59786e+32 1.20961e+21 6.40123e+32 1.41767e+21 7.50230e+32 
5.87279e+11 5.60144e+21 3.28961e+33 1.67902e+20 9.86054e+31 8.37253e+20 4.91701e+32 1.48962e+21 8.74822e+32 1.74585e+21 1.02530e+33 
6.51734e+11 6.89806e+21 4.49570e+33 2.06775e+20 1.34762e+32 1.03106e+21 6.71979e+32 1.83444e+21 1.19557e+33 2.14998e+21 1.40121e+33 
7.23263e+11 8.49478e+21 6.14396e+33 2.54647e+20 1.84177e+32 1.26973e+21 9.18349e+32 2.25906e+21 1.63390e+33 2.64764e+21 1.91494e+33 
8.02643e+11 1.04610e+22 8.39646e+33 3.13602e+20 2.51710e+32 1.56363e+21 1.25504e+33 2.78196e+21 2.23292e+33 3.26047e+21 2.61699e+33 
