1.00000e+11 3.98828e+20 3.98828e+31 1.05036e+20 1.05036e+31 1.09325e+20 1.09325e+31 1.18605e+20 1.18605e+31 1.11251e+20 1.11251e+31 
1.10975e+11 4.91174e+20 5.45081e+31 1.29357e+20 1.43554e+31 1.34638e+20 1.49415e+31 1.46067e+20 1.62098e+31 1.37011e+20 1.52048e+31 
1.23155e+11 6.04902e+20 7.44967e+31 1.59309e+20 1.96197e+31 1.65813e+20 2.04207e+31 1.79888e+20 2.21541e+31 1.68734e+20 2.07805e+31 
1.36672e+11 7.44962e+20 1.01815e+32 1.96195e+20 2.68143e+31 2.04206e+20 2.79091e+31 2.21540e+20 3.02782e+31 2.07803e+20 2.84008e+31 
1.51672e+11 9.17451e+20 1.39151e+32 2.41623e+20 3.66473e+31 2.51488e+20 3.81436e+31 2.72835e+20 4.13813e+31 2.55918e+20 3.88156e+31 
1.68318e+11 1.12988e+21 1.90179e+32 2.97568e+20 5.00861e+31 3.09717e+20 5.21310e+31 3.36007e+20 5.65560e+31 3.15174e+20 5.30494e+31 
1.86791e+11 1.39149e+21 2.59918e+32 3.66467e+20 6.84529e+31 3.81429e+20 7.12476e+31 4.13806e+20 7.72953e+31 3.88149e+20 7.25028e+31 
2.07292e+11 1.71367e+21 3.55231e+32 4.51318e+20 9.35547e+31 4.69744e+20 9.73743e+31 5.09617e+20 1.05640e+32 4.78019e+20 9.90897e+31 
2.30043e+11 2.11045e+21 4.85494e+32 5.55815e+20 1.27861e+32 5.78507e+20 1.33081e+32 6.27611e+20 1.44378e+32 5.88698e+20 1.35426e+32 
2.55291e+11 2.59909e+21 6.63524e+32 6.84505e+20 1.74748e+32 7.12451e+20 1.81882e+32 7.72925e+20 1.97321e+32 7.25002e+20 1.85086e+32 
2.83310e+11 3.20087e+21 9.06836e+32 8.42991e+20 2.38827e+32 8.77407e+20 2.48578e+32 9.51882e+20 2.69677e+32 8.92863e+20 2.52957e+32 
3.14404e+11 3.94197e+21 1.23937e+33 1.03817e+21 3.26404e+32 1.08055e+21 3.39730e+32 1.17227e+21 3.68566e+32 1.09959e+21 3.45714e+32 
3.48910e+11 4.85464e+21 1.69383e+33 1.27854e+21 4.46095e+32 1.33073e+21 4.64306e+32 1.44368e+21 5.03716e+32 1.35417e+21 4.72485e+32 
3.87204e+11 5.97862e+21 2.31495e+33 1.57455e+21 6.09673e+32 1.63883e+21 6.34563e+32 1.77793e+21 6.88423e+32 1.66770e+21 6.45739e+32 
4.29700e+11 7.36282e+21 3.16381e+33 1.93910e+21 8.33233e+32 2.01826e+21 8.67249e+32 2.18957e+21 9.40857e+32 2.05381e+21 8.82522e+32 
4.76861e+11 9.06746e+21 4.32392e+33 2.38804e+21 1.13877e+33 2.48553e+21 1.18525e+33 2.69649e+21 1.28585e+33 2.52931e+21 1.20613e+33 
5.29198e+11 1.11667e+22 5.90942e+33 2.94092e+21 1.55633e+33 3.06098e+21 1.61986e+33 3.32077e+21 1.75735e+33 3.11488e+21 1.64839e+33 
5.87279e+11 1.37520e+22 8.07626e+33 3.62179e+21 2.12700e+33 3.76964e+21 2.21383e+33 4.08957e+21 2.40172e+33 3.83602e+21 2.25281e+33 
6.51734e+11 1.69357e+22 1.10376e+34 4.46027e+21 2.90691e+33 4.64235e+21 3.02558e+33 5.03634e+21 3.28236e+33 4.72408e+21 3.07885e+33 
7.23263e+11 2.08564e+22 1.50847e+34 5.49286e+21 3.97278e+33 5.71708e+21 4.13495e+33 6.20228e+21 4.48588e+33 5.81773e+21 4.20775e+33 
8.02643e+11 2.56847e+22 2.06157e+34 6.76446e+21 5.42945e+33 7.04058e+21 5.65108e+33 7.63809e+21 6.13066e+33 7.16452e+21 5.75056e+33 
8.90735e+11 3.16306e+22 2.81745e+34 8.33041e+21 7.42020e+33 8.67045e+21 7.72307e+33 9.40625e+21 8.37848e+33 8.82306e+21 7.85901e+33 
9.88496e+11 3.89527e+22 3.85046e+34 1.02588e+22 1.01408e+34 1.06776e+22 1.05547e+34 1.15837e+22 1.14504e+34 1.08655e+22 1.07405e+34 
1.09699e+12 4.79696e+22 5.26220e+34 1.26336e+22 1.38589e+34 1.31492e+22 1.44245e+34 1.42651e+22 1.56486e+34 1.33806e+22 1.46783e+34 
1.21738e+12 5.90734e+22 7.19149e+34 1.55580e+22 1.89400e+34 1.61929e+22 1.97130e+34 1.75670e+22 2.13858e+34 1.64778e+22 2.00598e+34 
1.35099e+12 7.27469e+22 9.82806e+34 1.91591e+22 2.58839e+34 1.99411e+22 2.69403e+34 2.16331e+22 2.92262e+34 2.02919e+22 2.74142e+34 
1.49927e+12 8.95847e+22 1.34312e+35 2.35937e+22 3.53733e+34 2.45566e+22 3.68169e+34 2.66401e+22 3.99407e+34 2.49885e+22 3.74644e+34 
1.66382e+12 1.10319e+23 1.83550e+35 2.90545e+22 4.83413e+34 3.02401e+22 5.03140e+34 3.28058e+22 5.45828e+34 3.07719e+22 5.11988e+34 
1.84642e+12 1.35851e+23 2.50838e+35 3.57788e+22 6.60629e+34 3.72388e+22 6.87586e+34 4.03981e+22 7.45920e+34 3.78934e+22 6.99674e+34 
2.04907e+12 1.67289e+23 3.42789e+35 4.40590e+22 9.02801e+34 4.58567e+22 9.39638e+34 4.97469e+22 1.01935e+35 4.66627e+22 9.56153e+34 
2.27397e+12 2.06002e+23 4.68441e+35 5.42548e+22 1.23373e+35 5.64683e+22 1.28407e+35 6.12584e+22 1.39300e+35 5.74605e+22 1.30663e+35 
2.52354e+12 2.53669e+23 6.40144e+35 6.68092e+22 1.68596e+35 6.95348e+22 1.75474e+35 7.54327e+22 1.90357e+35 7.07562e+22 1.78556e+35 
2.80050e+12 3.12362e+23 8.74772e+35 8.22676e+22 2.30391e+35 8.56235e+22 2.39789e+35 9.28855e+22 2.60126e+35 8.71269e+22 2.43999e+35 
3.10787e+12 3.84630e+23 1.19538e+36 1.01301e+23 3.14830e+35 1.05433e+23 3.27672e+35 1.14374e+23 3.55460e+35 1.07284e+23 3.33423e+35 
3.44896e+12 4.73608e+23 1.63346e+36 1.24736e+23 4.30211e+35 1.29824e+23 4.47756e+35 1.40832e+23 4.85725e+35 1.32101e+23 4.55612e+35 
3.82749e+12 5.83160e+23 2.23204e+36 1.53590e+23 5.87865e+35 1.59853e+23 6.11838e+35 1.73407e+23 6.63713e+35 1.62657e+23 6.22567e+35 
4.24757e+12 7.18037e+23 3.04991e+36 1.89115e+23 8.03277e+35 1.96825e+23 8.36029e+35 2.13511e+23 9.06904e+35 2.00275e+23 8.50683e+35 
4.71375e+12 8.84088e+23 4.16737e+36 2.32850e+23 1.09760e+36 2.42343e+23 1.14234e+36 2.62884e+23 1.23917e+36 2.46588e+23 1.16235e+36 
5.23110e+12 1.08851e+24 5.69411e+36 2.86693e+23 1.49972e+36 2.98378e+23 1.56085e+36 3.23666e+23 1.69313e+36 3.03601e+23 1.58817e+36 
5.80523e+12 1.34016e+24 7.77995e+36 3.52976e+23 2.04910e+36 3.67360e+23 2.13261e+36 3.98488e+23 2.31331e+36 3.73786e+23 2.16991e+36 
6.44236e+12 1.64994e+24 1.06295e+37 4.34570e+23 2.79966e+36 4.52275e+23 2.91372e+36 4.90591e+23 3.16056e+36 4.60181e+23 2.96465e+36 
7.14943e+12 2.03125e+24 1.45223e+37 5.35006e+23 3.82499e+36 5.56799e+23 3.98079e+36 6.03959e+23 4.31796e+36 5.66522e+23 4.05031e+36 
7.93410e+12 2.50059e+24 1.98399e+37 6.58630e+23 5.22563e+36 6.85451e+23 5.43844e+36 7.43493e+23 5.89895e+36 6.97409e+23 5.53331e+36 
8.80488e+12 3.07823e+24 2.71034e+37 8.10784e+23 7.13886e+36 8.43792e+23 7.42949e+36 9.15223e+23 8.05843e+36 8.58496e+23 7.55896e+36 
9.77124e+12 3.78912e+24 3.70244e+37 9.98041e+23 9.75210e+36 1.03866e+24 1.01490e+37 1.12656e+24 1.10079e+37 1.05674e+24 1.03256e+37 
1.08437e+13 4.66394e+24 5.05741e+37 1.22848e+24 1.33212e+37 1.27846e+24 1.38632e+37 1.38662e+24 1.50360e+37 1.30068e+24 1.41042e+37 
1.20338e+13 5.74038e+24 6.90784e+37 1.51204e+24 1.81956e+37 1.57353e+24 1.89355e+37 1.70660e+24 2.05369e+37 1.60084e+24 1.92642e+37 
1.33545e+13 7.06479e+24 9.43469e+37 1.86093e+24 2.48518e+37 1.93658e+24 2.58621e+37 2.10028e+24 2.80483e+37 1.97013e+24 2.63101e+37 
1.48202e+13 8.69413e+24 1.28849e+38 2.29016e+24 3.39406e+37 2.38321e+24 3.53196e+37 2.58458e+24 3.83039e+37 2.42442e+24 3.59304e+37 
1.64468e+13 1.06984e+25 1.75953e+38 2.81816e+24 4.63496e+37 2.93260e+24 4.82318e+37 3.18026e+24 5.23050e+37 2.98320e+24 4.90641e+37 
1.82518e+13 1.31634e+25 2.40256e+38 3.46759e+24 6.32898e+37 3.60832e+24 6.58584e+37 3.91287e+24 7.14170e+37 3.67043e+24 6.69921e+37 
2.02550e+13 1.61948e+25 3.28026e+38 4.26625e+24 8.64129e+37 4.43927e+24 8.99176e+37 4.81372e+24 9.75021e+37 4.51550e+24 9.14615e+37 
