radius_rg T_0deg chi2_0deg T_15deg chi2_15deg T_30deg chi2_30deg T_45deg chi2_45deg nuLnusavg_last
 2.00000e-01  8.76865e+05  5.52649e+43  8.47687e+05  4.30123e+43  7.65850e+05  1.67594e+43  5.10242e+05  1.62088e+40  1.95436e-31
 2.06537e-01  8.47687e+05  5.23879e+43  8.19480e+05  4.19403e+43  7.65850e+05  1.62839e+43  5.10242e+05  4.24269e+40  1.95436e-31
 2.13287e-01  8.47687e+05  5.00405e+43  8.19480e+05  3.93310e+43  7.40366e+05  1.55034e+43  4.93264e+05  6.05003e+40  1.95436e-31
 2.20257e-01  8.47687e+05  4.89279e+43  8.19480e+05  3.77744e+43  7.40366e+05  1.44301e+43  4.93264e+05  1.92350e+40  1.95436e-31
 2.27456e-01  8.19480e+05  4.60176e+43  7.92211e+05  3.68292e+43  7.40366e+05  1.39302e+43  4.93264e+05  6.21223e+39  1.95436e-31
 2.34890e-01  8.19480e+05  4.39337e+43  7.92211e+05  3.43767e+43  7.15730e+05  1.34850e+43  4.93264e+05  2.13781e+40  1.95436e-31
 2.42567e-01  8.19480e+05  4.30592e+43  7.92211e+05  3.29564e+43  7.15730e+05  1.23478e+43  4.93264e+05  6.47952e+40  1.95436e-31
 2.50494e-01  7.92211e+05  4.02562e+43  7.65850e+05  3.22786e+43  7.15730e+05  1.17756e+43  4.76850e+05  4.69165e+40  1.95436e-31
 2.58681e-01  7.92211e+05  3.83353e+43  7.65850e+05  2.98958e+43  7.15730e+05  1.17658e+43  4.76850e+05  1.84911e+40  1.95436e-31
 2.67136e-01  7.92211e+05  3.76006e+43  7.65850e+05  2.85267e+43  6.91914e+05  1.05337e+43  4.76850e+05  1.83052e+40  1.95436e-31
 2.75866e-01  7.65850e+05  3.50650e+43  7.65850e+05  2.81656e+43  6.91914e+05  9.84068e+42  4.76850e+05  4.63579e+40  1.95436e-31
 2.84882e-01  7.65850e+05  3.32083e+43  7.40366e+05  2.58769e+43  6.91914e+05  9.70216e+42  4.76850e+05  1.02765e+41  1.95436e-31
 2.94193e-01  7.65850e+05  3.25165e+43  7.40366e+05  2.44747e+43  6.68890e+05  9.02450e+42  4.60983e+05  6.28707e+40  1.95436e-31
 3.03808e-01  7.40366e+05  3.04306e+43  7.40366e+05  2.40637e+43  6.68890e+05  8.16154e+42  4.60983e+05  4.26106e+40  1.95436e-31
 3.13737e-01  7.40366e+05  2.85402e+43  7.15730e+05  2.23317e+43  6.68890e+05  7.84615e+42  4.60983e+05  5.06897e+40  1.95436e-31
 3.23991e-01  7.40366e+05  2.77954e+43  7.15730e+05  2.08122e+43  6.46632e+05  7.87463e+42  4.60983e+05  8.71415e+40  1.95436e-31
 3.34580e-01  7.15730e+05  2.63665e+43  7.15730e+05  2.02688e+43  6.46632e+05  6.79122e+42  4.60983e+05  1.52117e+41  1.95436e-31
 3.45515e-01  7.15730e+05  2.43447e+43  6.91914e+05  1.92971e+43  6.46632e+05  6.24970e+42  4.45643e+05  1.07735e+41  1.95436e-31
 3.56807e-01  7.15730e+05  2.34512e+43  6.91914e+05  1.75755e+43  6.46632e+05  6.24784e+42  4.45643e+05  9.06664e+40  1.95436e-31
 3.68468e-01  6.91914e+05  2.29154e+43  6.91914e+05  1.68166e+43  6.25115e+05  5.80234e+42  4.45643e+05  1.02136e+41  1.95436e-31
 3.80511e-01  6.91914e+05  2.06638e+43  6.68890e+05  1.68374e+43  6.25115e+05  4.98360e+42  4.45643e+05  1.42190e+41  1.95436e-31
 3.92947e-01  6.91914e+05  1.95253e+43  6.68890e+05  1.48276e+43  6.25115e+05  4.69927e+42  4.45643e+05  2.10996e+41  1.95436e-31
 4.05790e-01  6.91914e+05  1.94952e+43  6.68890e+05  1.37690e+43  6.25115e+05  4.94818e+42  4.30814e+05  1.84498e+41  1.95436e-31
 4.19052e-01  6.68890e+05  1.75705e+43  6.68890e+05  1.36573e+43  6.04314e+05  4.14060e+42  4.30814e+05  1.65183e+41  1.95436e-31
 4.32748e-01  6.68890e+05  1.60892e+43  6.46632e+05  1.26615e+43  6.04314e+05  3.52168e+42  4.30814e+05  1.74714e+41  1.95436e-31
 4.46891e-01  6.68890e+05  1.57020e+43  6.46632e+05  1.12168e+43  6.04314e+05  3.43111e+42  4.30814e+05  2.13130e+41  1.95436e-31
 4.61496e-01  6.46632e+05  1.51732e+43  6.46632e+05  1.07084e+43  5.84205e+05  3.83977e+42  4.30814e+05  2.80592e+41  1.95436e-31
 4.76579e-01  6.46632e+05  1.32486e+43  6.46632e+05  1.11343e+43  5.84205e+05  2.83053e+42  4.16479e+05  3.01076e+41  1.95436e-31
 4.92155e-01  6.46632e+05  1.24064e+43  6.25115e+05  9.28431e+42  5.84205e+05  2.34680e+42  4.16479e+05  2.73381e+41  1.95436e-31
 5.08240e-01  6.46632e+05  1.26432e+43  6.25115e+05  8.29184e+42  5.84205e+05  2.38656e+42  4.16479e+05  2.74980e+41  1.95436e-31
 5.24851e-01  6.25115e+05  1.11478e+43  6.25115e+05  8.22361e+42  5.64766e+05  2.77198e+42  4.16479e+05  3.05880e+41  1.95436e-31
 5.42004e-01  6.25115e+05  9.74905e+42  6.04314e+05  8.13475e+42  5.64766e+05  1.83681e+42  4.16479e+05  3.66209e+41  1.95436e-31
 5.59718e-01  6.25115e+05  9.41822e+42  6.04314e+05  6.56629e+42  5.64766e+05  1.42303e+42  4.16479e+05  4.56216e+41  1.95436e-31
 5.78011e-01  6.04314e+05  9.97671e+42  6.04314e+05  5.91493e+42  5.64766e+05  1.52892e+42  4.02620e+05  4.29300e+41  1.95436e-31
 5.96902e-01  6.04314e+05  7.91438e+42  6.04314e+05  6.17797e+42  5.45973e+05  2.07913e+42  4.02620e+05  4.15982e+41  1.95436e-31
 6.16411e-01  6.04314e+05  6.91242e+42  5.84205e+05  5.73502e+42  5.45973e+05  1.15005e+42  4.02620e+05  4.32549e+41  1.95436e-31
 6.36557e-01  6.04314e+05  6.96665e+42  5.84205e+05  4.40569e+42  5.45973e+05  7.39507e+41  4.02620e+05  4.79068e+41  1.95436e-31
 6.57361e-01  5.84205e+05  7.13884e+42  5.84205e+05  3.98450e+42  5.45973e+05  8.45812e+41  4.02620e+05  5.55733e+41  1.95436e-31
 6.78845e-01  5.84205e+05  5.35525e+42  5.84205e+05  4.46974e+42  5.45973e+05  1.46940e+42  3.89223e+05  6.57605e+41  1.95436e-31
 7.01032e-01  5.84205e+05  4.62141e+42  5.64766e+05  3.94523e+42  5.27805e+05  7.90421e+41  3.89223e+05  6.20838e+41  1.95436e-31
 7.23943e-01  5.84205e+05  4.93429e+42  5.64766e+05  2.74086e+42  5.27805e+05  3.13952e+41  3.89223e+05  6.14803e+41  1.95436e-31
 7.47603e-01  5.64766e+05  5.03684e+42  5.64766e+05  2.43775e+42  5.27805e+05  3.52568e+41  3.89223e+05  6.39476e+41  1.95436e-31
 7.72037e-01  5.64766e+05  3.39950e+42  5.64766e+05  3.03466e+42  5.27805e+05  9.06429e+41  3.89223e+05  6.94958e+41  1.95436e-31
