1.00000e+11 1.96205e+21 1.96205e+32 4.44736e+20 4.44736e+31 4.58982e+20 4.58982e+31 4.81321e+20 4.81321e+31 5.08145e+20 5.08145e+31 
1.10975e+11 2.41635e+21 2.68155e+32 5.47713e+20 6.07825e+31 5.65256e+20 6.27295e+31 5.92768e+20 6.57826e+31 6.25803e+20 6.94486e+31 
1.23155e+11 2.97584e+21 3.66490e+32 6.74533e+20 8.30721e+31 6.96138e+20 8.57329e+31 7.30019e+20 8.99056e+31 7.70703e+20 9.49160e+31 
1.36672e+11 3.66487e+21 5.00884e+32 8.30717e+20 1.13535e+32 8.57324e+20 1.17172e+32 8.99050e+20 1.22875e+32 9.49153e+20 1.29722e+32 
1.51672e+11 4.51344e+21 6.84561e+32 1.02306e+21 1.55170e+32 1.05583e+21 1.60140e+32 1.10722e+21 1.67934e+32 1.16892e+21 1.77292e+32 
1.68318e+11 5.55849e+21 9.35594e+32 1.25995e+21 2.12072e+32 1.30030e+21 2.18864e+32 1.36358e+21 2.29516e+32 1.43957e+21 2.42306e+32 
1.86791e+11 6.84550e+21 1.27868e+33 1.55168e+21 2.89840e+32 1.60137e+21 2.99123e+32 1.67931e+21 3.13680e+32 1.77289e+21 3.31161e+32 
2.07292e+11 8.43050e+21 1.74758e+33 1.91095e+21 3.96125e+32 1.97215e+21 4.08812e+32 2.06813e+21 4.28708e+32 2.18338e+21 4.52599e+32 
2.30043e+11 1.03825e+22 2.38842e+33 2.35341e+21 5.41386e+32 2.42878e+21 5.58725e+32 2.54698e+21 5.85916e+32 2.68892e+21 6.18567e+32 
2.55291e+11 1.27864e+22 3.26425e+33 2.89832e+21 7.39914e+32 2.99114e+21 7.63610e+32 3.13670e+21 8.00771e+32 3.31150e+21 8.45395e+32 
2.83310e+11 1.57469e+22 4.46124e+33 3.56938e+21 1.01124e+33 3.68369e+21 1.04363e+33 3.86295e+21 1.09441e+33 4.07822e+21 1.15540e+33 
3.14404e+11 1.93928e+22 6.09716e+33 4.39582e+21 1.38206e+33 4.53659e+21 1.42632e+33 4.75735e+21 1.49573e+33 5.02246e+21 1.57908e+33 
3.48910e+11 2.38828e+22 8.33295e+33 5.41360e+21 1.88886e+33 5.58696e+21 1.94935e+33 5.85883e+21 2.04420e+33 6.18531e+21 2.15812e+33 
3.87204e+11 2.94123e+22 1.13886e+34 6.66702e+21 2.58150e+33 6.88051e+21 2.66416e+33 7.21531e+21 2.79380e+33 7.61737e+21 2.94948e+33 
4.29700e+11 3.62221e+22 1.55646e+34 8.21064e+21 3.52811e+33 8.47354e+21 3.64109e+33 8.88584e+21 3.81825e+33 9.38098e+21 4.03101e+33 
4.76861e+11 4.46083e+22 2.12720e+34 1.01116e+22 4.82184e+33 1.04354e+22 4.97623e+33 1.09431e+22 5.21835e+33 1.15529e+22 5.50912e+33 
5.29198e+11 5.49360e+22 2.90720e+34 1.24527e+22 6.58995e+33 1.28514e+22 6.80094e+33 1.34767e+22 7.13182e+33 1.42276e+22 7.52922e+33 
5.87279e+11 6.76546e+22 3.97321e+34 1.53358e+22 9.00639e+33 1.58268e+22 9.29472e+33 1.65967e+22 9.74691e+33 1.75215e+22 1.02900e+34 
