Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0207,450808684738713.25,40819.79179996614,1.2599461607841209e+40,8093469310810.928,416478.5643719295,2.7428873934891395e+41
0208,436541376626919.4,41950.93588729162,1.9596295104290192e+40,6891288349137.303,430814.1282887437,5.036160265389686e+41
0209,436541376626919.4,44308.126953854226,9.045029803600175e+40,6461996247578.049,460982.5695836015,8.030454276519314e+41
0210,465542285604540.44,41950.93588729162,4.560695181911448e+40,7349099765997.988,430814.1282887437,4.608654658573206e+41
0211,396391955737937.4,44308.126953854226,3.833174538127503e+40,3396483377864.7783,527805.1684035911,3.0707440148110124e+42
0212,371698759473522.7,44308.126953854226,2.0266551016916811e+40,3740503579855.1514,527805.1684035911,3.5548836656172666e+42
0213,409347076302336.4,43113.424743658674,1.43334660080283e+40,3988997788326.376,527805.1684035911,2.6828108227289414e+42
0214,409347076302336.4,44308.126953854226,1.1209594797294282e+40,9505369992715.307,416478.5643719295,7.931740341702764e+41
0215,396391955737937.4,45535.93517173839,3.338295896702794e+40,3507489292637.443,584205.2955044999,5.5280897725884396e+42
0216,422725603917276.94,43113.424743658674,4.714788543672293e+40,4837989905933.884,476850.00108219223,1.3845657583332524e+42
0217,371698759473522.7,46797.76678721456,4.7726073386131e+40,3622123169553.179,564765.5608154068,4.0986000889279233e+42
0218,396391955737937.4,46797.76678721456,4.990900898328671e+40,4996108004985.691,527805.1684035911,3.0711480029547756e+42
0219,496469822312222.06,44308.126953854226,4.1599036983483357e+40,3084103273751.8486,625115.1960956908,2.4807122751515355e+42
0220,546755847460193.56,46797.76678721456,9.361268451838214e+40,1674011991902.1965,545972.6933965883,2.2299629754303154e+41
0221,409347076302336.4,46797.76678721456,4.765649593614256e+40,1728723059741.5186,792211.3154718872,8.785481241582332e+42
0222,409347076302336.4,49427.297582481406,5.237575591964433e+40,598162292388.3627,765850.0724140495,2.6442910566965058e+42
0223,436541376626919.4,48094.56461168163,1.7589775001740038e+40,598162292388.3627,819479.9360447068,1.2527572248272748e+41
0224,396391955737937.4,50796.96148686583,8.004560516960427e+39,393776547445.22125,691913.6638317006,1.783044566849791e+42
0225,296772113009551.75,52204.57970602628,5.749469510432184e+39,3507489292637.443,545972.6933965883,5.920552218057137e+43
