Spec_File,OptUV_Radius,OptUV_Temperature,OptUV_ChiSquare,SoftX_Radius,SoftX_Temperature,SoftX_ChiSquare
0150,107093929750912.53,161461.40010351967,5.229367143079545e+46,5101356948466.366,469687.09846389916,1.1164649622856957e+42
0151,92642167063347.3,161461.40010351967,2.687232609907385e+46,6495500623434.282,446401.63624961453,1.719228422212049e+42
0152,97228612595164.75,161461.40010351967,3.237088407727389e+46,4631428313497.515,519965.2706590242,2.2206893670707888e+42
0153,97228612595164.75,161461.40010351967,3.3150084853572324e+46,6189096376617.444,424270.586733286,4.2617854620494903e+43
0154,92642167063347.3,161461.40010351967,2.861320782236431e+46,5353910364736.312,446401.63624961453,3.3390509423296804e+42
0155,92642167063347.3,161461.40010351967,2.63796010474442e+46,3637374604067.49,519965.2706590242,1.600787461082495e+42
0156,88272072274946.83,161461.40010351967,2.014076158735488e+46,6189096376617.444,424270.586733286,1.1974249760748613e+42
0157,88272072274946.83,161461.40010351967,1.9562803637921402e+46,6189096376617.444,424270.586733286,6.664517255956804e+41
0158,92642167063347.3,161461.40010351967,2.504179255357366e+46,6495500623434.282,424270.586733286,3.714117815045101e+41
0159,88272072274946.83,161461.40010351967,2.2136569069543388e+46,7880507045267.491,403236.7181251849,5.633843843834392e+41
0160,117960232933157.75,161461.40010351967,6.997456879455686e+46,3302305621475.7617,403236.7181251849,1.2611800368311887e+41
0161,92642167063347.3,161461.40010351967,3.0848240137208015e+46,7880507045267.491,403236.7181251849,3.561324841269676e+41
0162,88272072274946.83,161461.40010351967,2.290693134789957e+46,7154567661676.926,403236.7181251849,4.225661938259824e+41
0163,84108122582942.3,161461.40010351967,2.1164740152424565e+46,7508769597190.191,403236.7181251849,1.4263798767711908e+41
0164,84108122582942.3,161461.40010351967,2.2198060093094768e+46,6817074057601.622,424270.586733286,5.2078969881443845e+41
0165,72758173706358.38,169883.6437197453,1.4475485432120304e+46,7154567661676.926,424270.586733286,8.953803597691125e+41
0166,112395840221712.94,161461.40010351967,5.866274364666023e+46,2471183323773.634,446401.63624961453,2.058309466764891e+41
0167,84108122582942.3,161461.40010351967,1.7547872599770827e+46,7880507045267.491,403236.7181251849,2.5309679393326087e+41
0168,72758173706358.38,169883.6437197453,1.6036231333556046e+46,6189096376617.444,446401.63624961453,1.8599361488858723e+42
0169,84108122582942.3,161461.40010351967,2.3429927056040423e+46,7154567661676.926,446401.63624961453,1.4188947074572213e+42
0170,72758173706358.38,169883.6437197453,1.6616036221029607e+46,5353910364736.312,469687.09846389916,2.0322919270023407e+42
0171,92642167063347.3,161461.40010351967,3.083474543461973e+46,5618966969611.556,469687.09846389916,1.205794944422431e+42
0172,72758173706358.38,169883.6437197453,1.7090723101974116e+46,5897145759768.532,469687.09846389916,1.253446196758794e+42
0173,72758173706358.38,169883.6437197453,1.5423381540885706e+46,4860716923292.736,494187.1905238273,1.6896508017102126e+42
0174,72758173706358.38,169883.6437197453,1.6507587404382082e+46,4860716923292.736,494187.1905238273,3.16708375811196e+42
0175,80140593758723.81,161461.40010351967,1.6932002698118302e+46,3465793214031.2837,575625.5251117854,7.35378298142163e+42
0176,102042119769462.38,161461.40010351967,4.310659661500167e+46,2137710128460.7974,605651.6391000265,4.103740659669943e+41
0177,102042119769462.38,161461.40010351967,3.883293712828613e+46,5897145759768.532,424270.586733286,1.4276176530768177e+42
0178,84108122582942.3,161461.40010351967,1.850076730801065e+46,3465793214031.2837,547088.0020280032,2.252174500526771e+42
0179,72758173706358.38,169883.6437197453,1.4684950671780294e+46,5353910364736.312,446401.63624961453,7.71789915529869e+41
0180,88272072274946.83,161461.40010351967,2.27238949344648e+46,4631428313497.515,494187.1905238273,1.2162128451618159e+42
0181,84108122582942.3,161461.40010351967,1.8960504916412082e+46,4631428313497.515,494187.1905238273,1.6236474581047688e+42
0182,97228612595164.75,161461.40010351967,3.299877736929908e+46,2593524457113.837,575625.5251117854,1.7582181435624215e+42
0183,88272072274946.83,161461.40010351967,1.8772929966279215e+46,3637374604067.49,494187.1905238273,3.402308303004127e+42
0184,107093929750912.53,161461.40010351967,4.903491598259578e+46,895801771859.4875,637243.9927387064,1.1823296917314191e+42
0185,92642167063347.3,161461.40010351967,3.1742930750395706e+46,5353910364736.312,469687.09846389916,6.435478928170815e+41
0186,97228612595164.75,161461.40010351967,3.572325088387659e+46,3817450492069.5947,575625.5251117854,4.1236794821819016e+42
0187,84108122582942.3,161461.40010351967,2.3444011852873805e+46,3465793214031.2837,575625.5251117854,6.066563113915102e+42
0188,84108122582942.3,161461.40010351967,2.0908694836144567e+46,4631428313497.515,494187.1905238273,1.7976949035573442e+42
0189,84108122582942.3,161461.40010351967,1.9305108353731898e+46,3637374604067.49,575625.5251117854,4.390659004419273e+42
0190,88272072274946.83,161461.40010351967,2.320462680631521e+46,3637374604067.49,494187.1905238273,7.187685570600608e+43
0191,84108122582942.3,161461.40010351967,1.6622549206817015e+46,3465793214031.2837,547088.0020280032,3.263978440366881e+42
0192,92642167063347.3,161461.40010351967,2.435171316685244e+46,4860716923292.736,494187.1905238273,2.0111081229480534e+42
0193,102042119769462.38,161461.40010351967,3.545707342920712e+46,1318545080769.1057,637243.9927387064,5.561771957839805e+41
0194,97228612595164.75,161461.40010351967,3.036071800651797e+46,552532826553.0702,605651.6391000265,2.9237053272285197e+41
