radius_rg T_0deg chi2_0deg T_15deg chi2_15deg T_30deg chi2_30deg T_45deg chi2_45deg nuLnusavg_last
 2.00000e-01  5.84205e+05  1.78795e+42  5.64766e+05  1.49239e+42  5.27805e+05  8.37612e+41  3.39945e+05  3.57440e+38 -2.33294e-08
 2.06537e-01  5.64766e+05  1.77897e+42  5.64766e+05  1.49748e+42  5.10242e+05  8.21578e+41  3.39945e+05  9.47388e+38 -2.33294e-08
 2.13287e-01  5.64766e+05  1.72852e+42  5.45973e+05  1.51465e+42  5.10242e+05  7.97844e+41  3.28633e+05  6.37546e+38 -2.33294e-08
 2.20257e-01  5.64766e+05  1.72364e+42  5.45973e+05  1.45942e+42  5.10242e+05  7.96231e+41  3.28633e+05  1.79205e+38 -2.33294e-08
 2.27456e-01  5.64766e+05  1.76431e+42  5.45973e+05  1.44350e+42  5.10242e+05  8.16732e+41  3.28633e+05  2.36433e+36 -2.33294e-08
 2.34890e-01  5.45973e+05  1.69616e+42  5.45973e+05  1.46683e+42  4.93264e+05  7.90685e+41  3.28633e+05  1.06293e+38 -2.33294e-08
 2.42567e-01  5.45973e+05  1.66707e+42  5.27805e+05  1.44389e+42  4.93264e+05  7.69146e+41  3.28633e+05  4.91422e+38 -2.33294e-08
 2.50494e-01  5.45973e+05  1.68329e+42  5.27805e+05  1.40247e+42  4.93264e+05  7.69610e+41  3.28633e+05  1.15934e+39 -2.33294e-08
 2.58681e-01  5.27805e+05  1.68517e+42  5.27805e+05  1.40012e+42  4.93264e+05  7.92077e+41  3.17698e+05  5.91692e+38 -2.33294e-08
 2.67136e-01  5.27805e+05  1.62666e+42  5.27805e+05  1.43683e+42  4.76850e+05  7.63935e+41  3.17698e+05  1.55334e+38 -2.33294e-08
 2.75866e-01  5.27805e+05  1.61329e+42  5.10242e+05  1.38357e+42  4.76850e+05  7.41666e+41  3.17698e+05  3.77932e+35 -2.33294e-08
 2.84882e-01  5.27805e+05  1.64501e+42  5.10242e+05  1.35098e+42  4.76850e+05  7.41285e+41  3.17698e+05  1.26183e+38 -2.33294e-08
 2.94193e-01  5.10242e+05  1.61307e+42  5.10242e+05  1.35726e+42  4.76850e+05  7.62791e+41  3.17698e+05  5.33271e+38 -2.33294e-08
 3.03808e-01  5.10242e+05  1.56482e+42  4.93264e+05  1.39816e+42  4.60983e+05  7.41794e+41  3.17698e+05  1.22332e+39 -2.33294e-08
 3.13737e-01  5.10242e+05  1.56147e+42  4.93264e+05  1.33059e+42  4.60983e+05  7.15811e+41  3.07126e+05  6.66660e+38 -2.33294e-08
 3.23991e-01  5.10242e+05  1.60298e+42  4.93264e+05  1.30179e+42  4.60983e+05  7.11610e+41  3.07126e+05  1.94766e+38 -2.33294e-08
 3.34580e-01  4.93264e+05  1.55082e+42  4.93264e+05  1.31164e+42  4.60983e+05  7.29173e+41  3.07126e+05  4.43677e+36 -2.33294e-08
 3.45515e-01  4.93264e+05  1.50700e+42  4.76850e+05  1.35243e+42  4.45643e+05  7.25991e+41  3.07126e+05  9.48859e+37 -2.33294e-08
 3.56807e-01  4.93264e+05  1.50783e+42  4.76850e+05  1.28370e+42  4.45643e+05  6.93252e+41  3.07126e+05  4.66487e+38 -2.33294e-08
 3.68468e-01  4.93264e+05  1.55332e+42  4.76850e+05  1.25354e+42  4.45643e+05  6.82200e+41  3.07126e+05  1.12078e+39 -2.33294e-08
 3.80511e-01  4.76850e+05  1.49701e+42  4.76850e+05  1.26184e+42  4.45643e+05  6.92791e+41  2.96907e+05  8.89256e+38 -2.33294e-08
 3.92947e-01  4.76850e+05  1.45169e+42  4.76850e+05  1.30862e+42  4.30814e+05  7.19649e+41  2.96907e+05  3.22161e+38 -2.33294e-08
 4.05790e-01  4.76850e+05  1.45078e+42  4.60983e+05  1.24371e+42  4.30814e+05  6.77033e+41  2.96907e+05  3.71597e+37 -2.33294e-08
 4.19052e-01  4.76850e+05  1.49428e+42  4.60983e+05  1.20696e+42  4.30814e+05  6.56038e+41  2.96907e+05  3.30716e+37 -2.33294e-08
 4.32748e-01  4.60983e+05  1.45261e+42  4.60983e+05  1.20847e+42  4.30814e+05  6.56577e+41  2.96907e+05  3.09880e+38 -2.33294e-08
 4.46891e-01  4.60983e+05  1.39972e+42  4.60983e+05  1.24825e+42  4.30814e+05  6.78652e+41  2.96907e+05  8.68731e+38 -2.33294e-08
 4.61496e-01  4.60983e+05  1.39103e+42  4.45643e+05  1.21366e+42  4.16479e+05  6.71708e+41  2.87027e+05  1.32641e+39 -2.33294e-08
 4.76579e-01  4.60983e+05  1.42650e+42  4.45643e+05  1.16497e+42  4.16479e+05  6.37598e+41  2.87027e+05  6.01858e+38 -2.33294e-08
 4.92155e-01  4.45643e+05  1.42114e+42  4.45643e+05  1.15437e+42  4.16479e+05  6.24947e+41  2.87027e+05  1.60555e+38 -2.33294e-08
 5.08240e-01  4.45643e+05  1.35450e+42  4.45643e+05  1.18181e+42  4.16479e+05  6.33700e+41  2.87027e+05  6.76311e+35 -2.33294e-08
 5.24851e-01  4.45643e+05  1.33188e+42  4.30814e+05  1.19900e+42  4.16479e+05  6.63895e+41  2.87027e+05  1.21560e+38 -2.33294e-08
 5.42004e-01  4.45643e+05  1.35317e+42  4.30814e+05  1.13290e+42  4.02620e+05  6.32990e+41  2.87027e+05  5.23706e+38 -2.33294e-08
 5.59718e-01  4.30814e+05  1.40896e+42  4.30814e+05  1.10475e+42  4.02620e+05  6.03923e+41  2.87027e+05  1.20878e+39 -2.33294e-08
 5.78011e-01  4.30814e+05  1.32223e+42  4.30814e+05  1.11445e+42  4.02620e+05  5.96175e+41  2.77476e+05  1.14295e+39 -2.33294e-08
 5.96902e-01  4.30814e+05  1.27940e+42  4.30814e+05  1.16201e+42  4.02620e+05  6.09713e+41  2.77476e+05  4.80797e+38 -2.33294e-08
 6.16411e-01  4.30814e+05  1.28026e+42  4.16479e+05  1.11875e+42  4.02620e+05  6.44593e+41  2.77476e+05  1.01390e+38 -2.33294e-08
 6.36557e-01  4.30814e+05  1.32484e+42  4.16479e+05  1.06750e+42  3.89223e+05  6.01304e+41  2.77476e+05  3.16192e+36 -2.33294e-08
 6.57361e-01  4.16479e+05  1.31219e+42  4.16479e+05  1.05393e+42  3.89223e+05  5.73775e+41  2.77476e+05  1.85707e+38 -2.33294e-08
 6.78845e-01  4.16479e+05  1.24269e+42  4.16479e+05  1.07798e+42  3.89223e+05  5.67439e+41  2.77476e+05  6.49780e+38 -2.33294e-08
 7.01032e-01  4.16479e+05  1.21675e+42  4.02620e+05  1.13342e+42  3.89223e+05  5.82270e+41  2.77476e+05  1.39730e+39 -2.33294e-08
 7.23943e-01  4.16479e+05  1.23426e+42  4.02620e+05  1.05331e+42  3.89223e+05  6.18330e+41  2.68243e+05  1.15413e+39 -2.33294e-08
 7.47603e-01  4.16479e+05  1.29528e+42  4.02620e+05  1.01083e+42  3.76271e+05  5.76128e+41  2.68243e+05  4.88035e+38 -2.33294e-08
 7.72037e-01  4.02620e+05  1.23418e+42  4.02620e+05  1.00579e+42  3.76271e+05  5.46576e+41  2.68243e+05  1.04723e+38 -2.33294e-08
 7.97269e-01  4.02620e+05  1.17489e+42  4.02620e+05  1.03818e+42  3.76271e+05  5.38105e+41  2.68243e+05  2.60509e+36 -2.33294e-08
 8.23326e-01  4.02620e+05  1.15886e+42  3.89223e+05  1.07610e+42  3.76271e+05  5.50680e+41  2.68243e+05  1.81257e+38 -2.33294e-08
 8.50234e-01  4.02620e+05  1.18605e+42  3.89223e+05  9.98833e+41  3.76271e+05  5.84353e+41  2.68243e+05  6.41419e+38 -2.33294e-08
